67.175.158.227:60409,454306624.489240,0.023041,0.011719,-0.999832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.084567,-87.815725,30.000000,-1.000000,0.000000,193.700771
67.175.158.227:60409,454306624.589429,0.024078,0.012421,-1.001404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.084493,-87.814916,236.625827,-1.000000,-1.000000,193.700775
67.175.158.227:60409,454306624.689585,0.023193,0.012680,-1.001160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.084493,-87.814916,236.625827,-1.000000,-1.000000,193.700775
67.175.158.227:60409,454306624.789288,0.022202,0.013031,-1.001099,0.023034,-0.011714,0.000159,-0.005858,0.011516,0.000012,0.999917,0.999735,-0.000111,-0.023031,-0.000159,0.999931,-0.011714,0.023031,0.011714,0.999666,0.023031,0.011714,-0.999666,0.000758,0.001409,-0.002012,0.000499,-0.001282,0.004788,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.084493,-87.814916,236.625827,-1.000000,-1.000000,193.700775
67.175.158.227:60409,454306624.889284,0.024567,0.013168,-0.998840,0.023266,-0.011819,0.000676,-0.005913,0.011631,0.000269,0.999915,0.999729,0.000401,-0.023263,-0.000676,0.999930,-0.011818,0.023256,0.011831,0.999660,0.023263,0.011818,-0.999660,0.000266,-0.000328,-0.002355,0.001560,-0.000219,0.004803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.084493,-87.814916,236.625827,-1.000000,-1.000000,193.700775
67.175.158.227:60409,454306624.989190,0.023788,0.010727,-1.001480,0.023217,-0.012018,0.001180,-0.006015,0.011605,0.000520,0.999914,0.999730,0.000901,-0.023214,-0.001180,0.999927,-0.012017,0.023201,0.012041,0.999658,0.023214,0.012017,-0.999658,0.000117,0.002494,-0.000586,0.000471,-0.000216,0.005854,105.093231,101.423431,25.000000,-24.364685,-6.224686,-44.632874,42.084493,-87.814916,236.625827,-1.000000,-1.000000,193.700775
67.175.158.227:60409,454306625.089579,0.023346,0.012344,-1.002014,0.023286,-0.012046,0.001685,-0.006033,0.011638,0.000772,0.999914,0.999728,0.001404,-0.023283,-0.001684,0.999926,-0.012046,0.023264,0.012082,0.999656,0.023283,0.012046,-0.999656,0.000475,0.000024,-0.000664,0.001525,0.000850,0.005869,105.085617,101.415817,25.000000,-24.571419,-6.224701,-44.699203,42.084493,-87.814916,236.625827,-1.000000,-1.000000,193.700775
67.175.158.227:60409,454306625.189243,0.024673,0.011673,-0.999878,0.023313,-0.012200,0.002162,-0.006112,0.011649,0.001010,0.999913,0.999727,0.001877,-0.023309,-0.002162,0.999923,-0.012200,0.023284,0.012247,0.999654,0.023309,0.012200,-0.999654,-0.001031,0.001823,-0.002009,0.002596,-0.000218,0.003750,105.051720,101.381920,25.000000,-25.053799,-5.880157,-44.102219,42.084493,-87.814916,236.625827,-1.000000,-1.000000,193.700775
67.175.158.227:60409,454306625.289585,0.023209,0.013214,-1.000626,0.023329,-0.012126,0.002650,-0.006078,0.011656,0.001254,0.999913,0.999725,0.002367,-0.023325,-0.002650,0.999923,-0.012126,0.023294,0.012184,0.999654,0.023325,0.012126,-0.999654,-0.000086,-0.000041,-0.003199,0.000440,0.001917,0.005857,104.996796,101.326996,25.000000,-24.054592,-6.190231,-44.798691,42.084493,-87.814916,236.625827,-1.000000,-1.000000,193.700775
67.175.158.227:60409,454306625.389736,0.023361,0.011703,-0.998581,0.023327,-0.012092,0.003164,-0.006064,0.011653,0.001512,0.999913,0.999724,0.002881,-0.023323,-0.003164,0.999922,-0.012091,0.023286,0.012162,0.999655,0.023323,0.012091,-0.999655,-0.000969,0.000192,-0.000467,0.002530,0.000853,0.006945,104.946617,101.276817,25.000000,-25.019348,-5.707855,-44.931366,42.084493,-87.814916,236.625827,-1.000000,-1.000000,193.700775
